customer_id,customer_name,signup_date,status
191,Alyssa Ross,2020-03-21,Active
192,Mr. Thomas Bryant Jr.,2023-03-06,Churned
193,Andrew Sutton,2024-12-19,Churned
194,Amanda Stafford,2023-12-28,Active
195,Lisa Morales,2020-12-18,Active
196,Brandi Wallace,2021-05-24,Active
197,Holly Miller,2022-07-11,Active
198,Teresa Watson,2020-06-07,Churned
199,Jack Mullen,2024-02-01,Churned
200,Audrey Walker,2023-04-28,Active
201,Tracie Blair,2022-07-07,Active
202,Vanessa Moore,2022-08-08,Active
203,Dana Howell,2024-08-19,Active
204,Robert Garza,2022-04-13,Churned
205,William Owens,2022-02-01,Active
206,Anita Perez,2022-05-23,Active
207,Natalie Santiago,2022-02-12,Active
208,Lance George,2024-01-11,Active
209,Angela Wright,2022-10-26,Active
210,Willie Mayo,2021-10-03,Active
211,Dennis Fields,2021-07-02,Active
212,Danny Knight,2024-03-27,Active
213,Paul Marshall,2022-03-18,Active
214,Anne Harris,2024-08-29,Active
215,Scott Lawson,2024-09-04,Active
216,Dawn Phillips,2024-11-05,Active
217,Anthony Armstrong,2024-04-04,Active
218,Thomas Harris,2024-11-12,Active
219,Sherri Mcdaniel,2021-05-22,Active
220,Sylvia Hayden,2024-11-14,Churned
221,Edward Sanders,2024-07-22,Active
222,Cassandra Ferguson,2021-03-20,Active
223,Leslie Page,2024-03-04,Active
224,Amanda Bruce,2023-09-18,Active
225,David Jones,2020-04-10,Active
226,Andrew Ortiz,2020-08-19,Active
227,Jorge Walker,2024-04-30,Churned
228,Melissa Young MD,2023-10-20,Active
229,Brian Anderson,2020-10-31,Churned
230,Jose Smith,2021-11-08,Active
231,Sean Young,2022-04-23,Active
232,Jennifer Johnson,2021-05-17,Active
233,Albert Weaver,2020-12-31,Active
234,Stephen Hernandez,2024-04-11,Active
235,Chloe Kane,2021-05-05,Active
236,Scott Anderson,2022-09-06,Active
237,James Anderson,2022-03-08,Active
238,Robert Watson,2023-06-07,Active
239,Joseph Rose,2024-08-10,Active
240,Jack Baker,2020-03-27,Active
241,Jonathan Grant,2020-04-17,Churned
242,Kathryn Morgan MD,2023-12-24,Churned
243,Eddie York,2020-04-17,Churned
244,Jeremy Cantrell,2020-12-17,Active
245,Donna Hernandez,2022-10-31,Active
246,Natalie Howard,2021-09-12,Churned
247,Paul Lopez,2023-11-09,Active
248,Kathy Bell,2024-05-09,Churned
249,Faith Herrera,2020-11-19,Churned
250,Kimberly Reyes,2023-05-26,Churned
251,Meredith Mcclain,2024-06-30,Active
252,Susan Douglas,2021-07-30,Active
253,Jose Martinez,2021-05-18,Churned
254,Whitney Williams,2020-10-25,Active
255,Jennifer King,2023-01-27,Active
256,David Harrison,2024-01-06,Active
257,Timothy Castro,2024-03-08,Churned
258,Bradley Ward,2021-02-01,Active
259,Adrian Davis,2021-03-19,Active
260,Julie Lee,2021-06-17,Active
261,Leah Fox,2021-01-09,Active
262,Aaron Becker,2025-01-02,Churned
263,Andrew Davis,2025-01-27,Active
264,Dylan Allen,2020-04-18,Active
265,Jasmine Davenport,2023-08-09,Churned
266,Joseph Castillo,2021-12-11,Active
267,Darren Brooks,2025-02-03,Active
268,Margaret Romero,2023-06-18,Active
269,Pamela Aguilar,2024-04-22,Active
270,Jennifer Cooper,2025-01-15,Active
271,Dr. Kaylee Manning,2022-08-15,Churned
272,Wendy Giles,2021-06-09,Churned
273,Amanda Watkins,2024-10-21,Churned
274,Lawrence Garza,2023-08-10,Churned
275,Kristen Todd,2022-03-29,Active
276,Daniel Knight,2020-06-25,Active
277,Nicholas Smith,2023-11-14,Active
278,Mallory Morris,2024-11-28,Active
279,Samantha Johnson,2025-03-02,Active
280,Stacey Dixon,2021-11-19,Active
281,Deborah Walters,2021-03-05,Churned
282,Jessica Miller,2021-12-07,Active
283,Mr. Kenneth Castillo,2020-11-04,Active
284,Patricia Stanley,2024-04-20,Active
285,Daniel Booker,2023-02-16,Active
286,Sarah Gray,2024-10-12,Active
287,Joe Lopez,2024-07-31,Active
288,Sarah Mcgee,2020-12-25,Active
289,Donna Carter,2021-03-31,Active
290,Linda Rosario,2021-10-04,Active
291,Justin Lindsey,2020-06-11,Active
292,James Bowman,2023-04-07,Active
293,Daniel Francis,2021-07-12,Churned
294,Jeremy Christensen,2020-03-19,Active
295,Carrie Lucas,2024-01-29,Active
296,Jennifer Thomas,2022-09-14,Active
297,Amanda Tyler,2022-10-11,Active
298,Kristin Greene,2021-05-15,Active
299,Norma Taylor,2020-12-03,Active
300,James Harrington,2025-01-16,Active
301,Ryan Tran,2022-04-20,Active
302,Melissa Nguyen,2024-02-02,Active
303,Amy Haynes MD,2021-02-13,Active
304,Pedro Williams,2021-05-03,Active
305,Raymond Buchanan,2023-04-15,Active
306,Eric Lane,2021-12-12,Churned
307,Benjamin Hull,2024-03-23,Active
308,Jonathan Horn,2024-11-07,Active
309,Michael Scott,2021-09-23,Active
310,Brenda Henderson,2023-02-10,Active
311,Tina Brown,2022-04-04,Active
312,Alicia Neal,2020-04-06,Active
313,Jonathan Bradley,2020-03-12,Active
314,Cheryl Moore,2024-11-24,Churned
315,Teresa Martin,2023-08-20,Churned
316,Joseph Green,2024-09-05,Active
317,Joshua Kramer,2022-09-20,Active
318,Christopher Gilbert,2021-10-11,Active
319,Bryan Saunders,2023-04-29,Active
320,Katrina Garcia MD,2022-01-12,Active
321,Javier Walters,2021-06-22,Active
322,Aaron George,2023-04-23,Active
323,Brandi Higgins,2024-05-07,Active
324,Brenda Adkins,2021-06-26,Active
325,Mr. Christopher Williams PhD,2020-03-11,Churned
326,Anna Vega,2022-04-08,Active
327,Tyler Sharp,2024-03-22,Active
328,Mr. Matthew Jones,2023-08-15,Active
329,Christian Anderson,2022-08-20,Active
330,Dana Miller,2023-04-05,Active
331,Molly Aguilar,2023-10-03,Active
332,Adam Hamilton,2023-12-19,Active
333,Lindsey Burton,2023-06-15,Active
334,Linda Martinez,2024-08-19,Active
335,Brenda Reyes,2021-01-04,Active
336,Anthony Lin,2021-09-11,Active
337,Michael Bond Jr.,2022-02-28,Churned
338,Tiffany Carroll,2022-12-23,Active
339,Allison Wood,2022-05-30,Active
340,Scott Sullivan,2020-07-26,Active
341,Paige Ochoa,2022-05-27,Active
342,Michelle Nguyen,2022-03-05,Active
343,Robin Garcia,2023-05-29,Active
344,Eugene Weaver,2022-12-12,Active
345,David Sharp,2020-09-21,Active
346,Cody Wong,2025-02-18,Active
347,Zachary Smith,2024-03-22,Active
348,Catherine Burch,2023-02-22,Active
349,Samuel Garcia,2023-09-10,Active
350,Seth Gilmore,2023-08-06,Active
351,David Gutierrez,2021-01-05,Active
352,Ms. Lori Jones,2021-07-01,Churned
353,Scott Hill,2023-10-17,Active
354,Robert Hudson,2022-10-28,Active
355,Dennis Matthews,2020-08-25,Active
356,Amy Moore,2021-02-12,Active
357,Nancy Hobbs,2020-06-21,Active
358,Paul Russell,2020-04-08,Active
359,Dale Parker,2022-10-20,Churned
360,Tony Scott,2023-01-02,Active
361,Robert Smith,2023-08-17,Active
362,Jennifer Kelley,2021-03-23,Active
363,Stephen Vasquez,2020-05-10,Active
364,Melissa Smith,2023-02-21,Active
365,Kyle Gonzalez,2020-03-05,Churned
366,Rebecca Foster,2020-08-03,Active
367,Christy Riddle,2022-11-25,Churned
368,Emily Green,2022-11-19,Churned
369,Alexandra Williams,2022-03-27,Active
370,Gerald Rogers,2023-12-31,Active
371,James Osborn,2024-09-13,Active
372,Xavier Pope,2020-07-26,Active
373,Shannon Lin,2024-03-08,Active
374,Bryan French,2023-10-14,Active
375,Omar Santos,2020-10-30,Active
376,Jason Rivera,2022-01-22,Active
377,Matthew Lindsey,2020-06-15,Churned
378,Margaret Garcia,2021-07-04,Active
379,Dr. Jessica Decker DDS,2022-06-07,Churned
380,Meredith Smith,2020-04-15,Active
381,Karen Jimenez,2023-06-02,Active
382,Christopher Dalton,2023-04-11,Active
383,Russell Wood,2021-03-11,Active
384,Sandra Mcmillan,2023-04-19,Churned
385,Michael Carlson,2024-08-14,Active
386,Francisco Pittman,2021-10-22,Churned
387,Patricia Bell,2024-08-25,Active
388,Barbara Peters,2023-02-16,Active
389,Mark Cole,2023-08-26,Active
390,Jose Davis,2023-03-10,Churned
391,William Wright,2024-10-09,Churned
392,Joy Ruiz,2021-06-06,Active
393,Mrs. Tiffany Long,2022-03-24,Active
394,Christopher Johnson,2022-05-27,Active
395,Robert Green,2024-09-01,Active
396,Sophia Holt,2023-06-23,Churned
397,Paul Jackson,2023-06-19,Churned
398,Michael Bishop MD,2021-09-03,Active
399,Aaron Ballard,2021-02-09,Active
400,Stephen Rosales,2022-01-16,Active
401,Eugene Sullivan,2021-06-29,Active
402,Tiffany Wagner PhD,2024-01-28,Churned
403,Jennifer Barrera,2024-08-23,Active
404,Richard Coffey,2024-11-02,Churned
405,William Terrell,2022-05-18,Active
406,Margaret Moran,2022-10-23,Churned
407,Clarence Conner,2022-04-19,Active
408,Christian Ward,2021-09-29,Active
409,Christopher Scott,2025-01-14,Churned
410,Michael Bolton,2024-11-01,Active
411,Christopher Miller,2024-01-03,Active
412,Timothy Pierce,2023-03-27,Churned
413,Madeline Gonzalez,2024-11-19,Churned
414,Courtney Brown,2023-11-18,Active
415,Ian Williams,2023-11-01,Active
416,Jose Jacobs,2023-11-20,Active
417,Mrs. Jessica Garcia,2023-04-16,Active
418,Ashlee Russell,2024-03-19,Active
419,Jesus Saunders,2023-12-20,Active
420,Joe Soto,2020-10-24,Active
421,Kayla Richards,2022-02-28,Active
422,Tim Johnston,2024-03-24,Active
423,Samantha Williams,2023-07-10,Active
424,Kelly Norton,2021-01-15,Active
425,Michael Marsh,2024-01-16,Active
426,Andrew Valencia,2020-06-05,Active
427,Mrs. Donna Lopez,2020-08-12,Active
428,Lisa Barber,2020-12-13,Churned
429,Jennifer Cox,2022-09-07,Active
430,Ashley Cross,2024-05-01,Active
431,Michele Hall,2023-10-15,Active
432,Jeremy Duran,2020-09-14,Active
433,Matthew Hunt,2022-10-18,Active
434,Kelly Lucas,2021-05-16,Active
435,Philip Rodriguez,2024-06-26,Active
436,Lindsay Ramos,2023-12-13,Active
437,Brandon Obrien,2020-04-30,Active
438,Tracey Alvarez,2021-12-31,Churned
439,Krista Herrera,2023-02-21,Active
440,Timothy Brewer,2023-05-03,Active
441,Lauren Butler,2024-08-15,Active
442,John House,2022-07-01,Churned
443,Brianna Hooper,2022-08-04,Active
444,Patricia Cross,2024-12-16,Active
445,Darrell Buck,2022-10-27,Churned
446,Holly Henson,2020-11-04,Churned
447,Jacqueline Shields,2022-12-08,Churned
448,Casey Hunter,2022-01-21,Active
449,Kurt Hall,2022-04-20,Active
450,Rebecca Marquez,2023-07-04,Active
451,Michelle Mathews,2020-11-25,Active
452,Crystal Meyer,2023-11-14,Active
453,Austin Munoz,2024-03-04,Active
454,Michael Smith DDS,2021-06-04,Churned
455,Gilbert Hall,2022-04-11,Active
456,Courtney Lam,2024-01-25,Active
457,Noah Greene,2021-12-01,Active
458,Barbara Obrien,2020-08-07,Active
459,Lisa Strickland,2024-10-15,Active
460,William Davis,2020-03-30,Active
461,Stephanie Thompson,2022-08-29,Active
462,Roy Shaw,2024-07-15,Active
463,Ian Yates,2024-11-30,Active
464,Patrick Davis,2021-07-24,Active
465,Adam Norman,2023-11-12,Churned
466,Alexis Miles,2023-12-11,Active
467,Sarah Mitchell,2022-05-19,Active
468,Madeline Kelly,2023-04-12,Churned
469,Sharon Lawrence,2023-07-30,Active
470,Elizabeth Jones,2024-02-12,Churned
471,Kim Brooks,2020-04-04,Active
472,George Richards,2025-01-17,Churned
473,Judy Clark,2023-10-26,Active
474,Megan Peterson,2024-01-05,Churned
475,Susan Nguyen,2024-01-23,Active
476,Michelle Livingston,2023-09-10,Churned
477,Jeremy Hess,2023-12-16,Active
478,Stephen Patton,2024-08-13,Active
479,Amanda Sanchez,2024-01-05,Churned
480,Whitney Medina,2023-05-31,Active
481,Brittany Carr,2021-08-04,Active
482,Jonathan Martin,2021-03-17,Active
483,Amy Davis,2021-06-15,Active
484,Daniel Simmons,2023-02-23,Active
485,James Harris,2021-09-30,Active
486,Samantha Burton,2023-07-26,Churned
487,Grant Simpson,2023-07-23,Active
488,Melissa Griffin,2021-06-30,Active
489,Matthew Cruz,2020-11-27,Churned
490,Jeffrey Williamson,2024-12-30,Churned
491,David Rogers,2023-04-16,Active
492,Edwin Reyes,2022-04-19,Active
493,Amber Stephens,2021-11-23,Active
494,Alexander Molina,2023-11-28,Active
495,Michael Jefferson,2021-02-13,Active
496,Courtney Hahn,2023-09-19,Active
497,Paul Hunter,2022-01-27,Active
498,Joshua Wood,2020-05-13,Active
499,John Miller,2023-08-04,Churned
500,Stacey Mccullough,2022-10-10,Churned
501,Samantha Ward,2021-01-28,Active
502,Anthony Mooney,2023-11-08,Active
503,Miranda James,2024-10-13,Active
504,Troy Clayton,2024-05-09,Churned
505,Scott Carter,2022-02-28,Active
506,Brian Peterson,2023-01-11,Active
507,Trevor Williams,2023-07-11,Churned
508,Sarah Wright DVM,2021-03-23,Churned
509,Laura Clark,2021-11-18,Churned
510,James Thomas,2020-10-16,Active
511,Darryl Pittman,2020-10-08,Active
512,Patricia Perez,2022-08-09,Active
513,Mr. Jeffrey Harris,2024-02-22,Churned
514,Thomas Stewart,2020-08-26,Churned
515,Dalton Owen,2023-10-30,Active
516,James Villanueva,2021-04-07,Active
517,Karen Holder,2022-11-25,Active
518,April Knight,2022-02-06,Churned
519,Donald Thomas,2023-11-02,Churned
520,Laura Rowe,2023-04-04,Active
521,Kimberly Santos,2024-06-17,Active
522,Charles Glass,2023-12-11,Active
523,Anne Rodriguez,2024-02-13,Churned
524,Michelle Ross,2021-02-25,Churned
525,Amber Andrews,2023-10-27,Churned
526,Kayla Lewis,2023-01-07,Active
527,Marie Horton,2020-08-25,Active
528,Erik Thompson,2022-09-18,Active
529,Christopher Anderson,2022-10-07,Active
530,Anthony Martin,2021-04-01,Churned
531,Deborah Lee,2022-10-18,Churned
532,Lance Wall,2024-08-25,Churned
533,Jennifer Garcia,2020-08-19,Churned
534,David Meyer,2024-10-29,Active
535,Rebecca Scott,2023-11-04,Active
536,Michael Duffy,2024-04-13,Churned
537,Zachary Gonzalez,2021-09-02,Churned
538,Christopher Stevens,2023-06-25,Active
539,William Howard,2022-05-21,Active
540,Donald Rollins,2021-05-19,Active
541,Patricia Wyatt,2020-07-23,Churned
542,Kim Fleming,2022-05-15,Active
543,Jennifer Larsen,2022-05-28,Active
544,Kimberly Copeland,2021-04-05,Active
545,Jimmy Sims,2024-01-22,Active
546,James Hughes,2022-08-12,Active
547,Jason Hernandez,2024-07-01,Active
548,Tanya Thomas,2021-02-01,Active
549,Ronald Wood,2024-08-04,Active
550,Rhonda Cook,2020-05-24,Active
551,Ronald Marshall,2020-06-29,Active
552,Alexis Rodriguez,2024-04-04,Churned
553,Jonathon Lewis,2022-11-11,Active
554,Joseph Jackson,2025-02-21,Active
555,Valerie Jimenez,2024-10-05,Churned
556,Vicki Christian,2023-05-23,Active
557,John Lester,2023-09-12,Active
558,Ashlee Roberts,2020-09-02,Active
559,Nathan Chavez,2021-07-15,Active
560,Angela Robinson,2023-06-17,Active
561,James Wilson,2022-11-20,Active
562,Vanessa Tyler,2024-03-26,Active
563,Corey Wade,2022-12-08,Active
564,Kathleen Douglas,2023-04-03,Active
565,Paul Romero,2021-11-12,Active
566,Steve Smith,2022-08-31,Active
567,Cynthia Webster MD,2021-05-06,Active
568,Mary Brewer,2022-09-15,Active
569,Richard Rivera,2023-01-12,Churned
570,Erik Barnett,2023-02-09,Active
571,Lynn Weiss,2024-11-21,Active
572,William Shannon,2020-05-17,Active
573,Robert Dalton,2020-04-17,Active
574,Joshua Phillips,2021-02-03,Active
575,Kimberly Kelly,2020-08-11,Churned
576,Thomas Thompson,2022-11-22,Churned
577,Timothy Rios,2023-06-16,Active
578,Sonya Gilmore,2021-12-01,Churned
579,Cassie Rice,2021-10-10,Active
580,Adam Barnett,2023-07-03,Active
581,David Jackson,2022-09-16,Active
582,Benjamin Washington,2021-06-09,Churned
583,Christopher Flores,2021-10-05,Active
584,Erica Caldwell,2021-08-27,Active
585,Pamela Lawson,2025-02-12,Active
586,Benjamin Lewis,2021-03-05,Active
587,Bryan Montgomery,2020-08-31,Active
588,John Wells,2024-02-23,Active
589,Gerald Mason,2021-03-23,Active
590,David Wise,2023-07-31,Active
591,Zoe Santiago,2020-11-30,Active
592,Tara Guzman,2022-07-30,Active
593,Keith Peterson,2021-12-17,Active
594,Lauren Colon,2021-01-24,Active
595,Erik Martinez,2021-06-21,Churned
596,Bradley Foster,2023-06-29,Active
597,Melissa Higgins,2023-10-15,Active
598,Michael Diaz,2021-01-04,Active
599,Rodney Anderson,2020-08-22,Active
600,Richard Davila,2022-04-13,Active
601,Alejandra House,2022-07-21,Active
602,Christine Atkinson,2020-12-08,Active
603,Kristen Washington,2023-10-09,Active
604,Jon Bradshaw,2020-03-11,Active
605,Luis Garcia,2021-03-24,Active
606,Rebecca Gomez,2022-05-18,Active
607,Thomas Norton,2021-04-25,Active
608,Joe Davis,2021-11-11,Active
609,Michaela Short,2024-03-22,Active
610,Martha Daugherty,2023-09-13,Active
611,Christina Anderson,2020-10-16,Active
612,Kristen Gill,2025-02-16,Active
613,Danielle Ramirez,2021-01-09,Active
614,Sarah Knox,2021-05-20,Active
615,Jack Hunt,2023-11-24,Churned
616,Christopher Rodriguez,2023-12-30,Churned
617,Jocelyn Cunningham,2024-04-15,Active
618,Michael Christensen,2020-11-17,Active
619,Michele Foster,2020-08-12,Churned
620,Dawn Crawford,2025-01-29,Active
621,Stephen Alexander,2022-12-03,Active
622,Mr. Jeffrey Garner,2022-01-22,Active
623,Ray Walton,2021-11-08,Active
624,Clinton Mann,2020-10-22,Active
625,James Reyes,2023-09-09,Active
626,Steven Graham,2023-06-28,Active
627,James Barajas,2020-06-12,Active
628,Thomas Herrera,2023-07-05,Active
629,Eric Yoder,2020-10-19,Active
630,Patricia Pollard,2020-08-29,Active
631,Cheryl Bell,2024-01-02,Active
632,Diane Hill,2025-01-25,Churned
633,Peter Davis,2021-01-31,Active
634,Michael Gordon,2020-04-29,Active
635,Ashley Velez,2023-12-14,Active
636,Isaac Richard,2022-03-12,Active
637,Kyle Patrick,2020-09-30,Active
638,Jeff Lynn,2024-06-29,Active
639,Michael Jackson,2020-12-19,Active
640,Rebecca Lowe,2020-08-29,Active
641,Joshua Reed,2024-09-18,Active
642,John Hall,2021-03-22,Active
643,Hector Dodson,2024-11-21,Active
644,Sarah Gomez,2021-02-25,Active
645,Miranda Munoz,2024-11-12,Active
646,James Miller,2022-09-23,Churned
647,Spencer Morris,2021-09-18,Active
648,Kevin Williams,2022-01-15,Active
649,Pamela Garcia,2020-06-08,Active
650,Michael Perry,2022-12-02,Active
651,Sarah Morrison,2020-05-17,Active
652,Jessica Ward,2020-04-07,Active
653,Jordan Wilkerson,2024-11-07,Active
654,Sarah Davis,2021-01-29,Active
655,Stephen Ellis,2020-11-19,Active
656,Jesse Schneider,2023-09-03,Active
657,Sarah Riley,2020-03-20,Active
658,Paula Stewart,2022-05-31,Active
659,Michael Tucker,2025-03-03,Active
660,Megan Gutierrez,2022-06-25,Active
661,Sandy Patterson,2022-11-17,Active
662,Timothy Stewart,2023-11-05,Churned
663,Stephen Smith MD,2023-09-09,Active
664,Kerry Smith,2022-01-18,Active
665,Lori Thompson,2025-01-31,Active
666,Miguel Fernandez,2024-08-17,Active
667,Steven Payne,2022-10-15,Active
668,Stephanie Ball,2021-05-08,Active
669,Nicole Payne,2024-12-24,Active
670,Tracey Butler,2021-06-21,Active
671,Erin Wagner,2021-05-10,Active
672,Pamela Lowe,2023-03-13,Churned
673,Brittany Smith,2024-09-08,Active
674,Cody Murphy,2022-10-03,Active
675,Rebecca Leonard,2022-07-27,Active
